  TARGET                RA         DEC       MJD  FILTER  APER       FLUX  FLUXERR         MAG   MAGERR  MAGSYS       ZP      SKY SKYERR  IMAGE
S4                177.39780    22.39518  57168.295   F160W   inf     1.5587   0.2554     25.4643   0.1779     AB   25.9462  -0.0017 0.0150  refsdal_f160w_e39-e00_sub_masked.fits
S4                177.39780    22.39518  57188.186   F160W   inf     1.2763   0.2689     25.6814   0.2288     AB   25.9462  -0.0033 0.0220  refsdal_f160w_e40-e100_sub_despiked.fits
S4                177.39780    22.39518  57208.093   F160W   inf     0.7630   0.1988     26.2399   0.2829     AB   25.9462  -0.0036 0.0219  refsdal_f160w_e41-e100_sub_despiked.fits
S4                177.39780    22.39518  57216.220   F160W   inf     1.4156   0.3809     25.5689   0.2921     AB   25.9462  -0.0055 0.0274  refsdal_f160w_e42-e100_sub_despiked.fits
S4                177.39780    22.39518  57223.996   F160W   inf     1.3613   0.2905     25.6113   0.2317     AB   25.9462  -0.0032 0.0250  refsdal_f160w_e43-e100_sub_despiked.fits
S4                177.39780    22.39518  57325.840   F160W   inf     0.0661   0.3676     28.8952   6.0352     AB   25.9462   0.0013 0.0248  refsdal_f160w_e44-e100_sub_despiked.fits
S4                177.39780    22.39518  57340.953   F160W   inf     0.0690   0.3590     28.8486   5.6460     AB   25.9462   0.0021 0.0172  refsdal_f160w_e45-e00_sub_masked.fits
S4                177.39780    22.39518  57367.060   F160W   inf    -0.0271   0.2302     26.3483  -9.0000     AB   25.9462   0.0004 0.0151  refsdal_f160w_e46-e00_sub_masked.fits
S4                177.39780    22.39518  57402.151   F160W   inf     0.3856   0.2017     26.9809   0.5679     AB   25.9462   0.0001 0.0136  refsdal_f160w_e47-e00_sub_masked.fits
S4                177.39780    22.39518  57429.508   F160W   inf     0.2840   0.1526     27.3130   0.5835     AB   25.9462  -0.0005 0.0109  refsdal_f160w_e48-e00_sub_masked.fits
